p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
5.34165491231832e-72,0.704513417692565,0.274,0.418,1.6024964736955e-68,0,NFIA
1.53560100137635e-69,0.274114717407944,0.285,0.203,4.60680300412904e-66,0,KCNJ6
1.90465902411745e-69,5.48704728953875,0.351,0.201,5.71397707235234e-66,0,CSF1
4.57799196265259e-69,0.77540331276939,0.566,0.498,1.37339758879578e-65,0,NREP
1.67926387132921e-66,2.50523972510561,0.191,0.338,5.03779161398762e-63,0,DCTPP1
2.10732532378169e-66,0.46664329121739,0.318,0.258,6.32197597134508e-63,0,OTULINL
2.79745299210755e-65,2.29748471903263,0.301,0.222,8.39235897632266e-62,0,CCDC78
1.1219098626394e-63,0.346333937969368,0.341,0.24,3.36572958791821e-60,0,SLC50A1
5.70003811831494e-62,1.55011885720715,0.313,0.234,1.71001143549448e-58,0,BVES
6.40762071479842e-62,0.283227452201128,0.262,0.187,1.92228621443953e-58,0,KLHL1
2.06245686197333e-61,0.399166940498186,0.267,0.189,6.18737058591999e-58,0,PLAG1
8.49346554355239e-60,0.891255001406893,0.316,0.214,2.54803966306572e-56,0,LIN7A
4.8590285591257e-58,0.463746819160535,0.309,0.249,1.45770856773771e-54,0,NIPAL2
8.82983921489061e-58,0.812216792823087,0.356,0.225,2.64895176446718e-54,0,RPS6KA2
1.90534544257585e-57,0.913708634387968,0.335,0.218,5.71603632772755e-54,0,ACER2
6.71098903585391e-57,0.324818576192794,0.363,0.265,2.01329671075617e-53,0,D430019H16RIK
3.27805619427206e-56,1.02109825053735,0.49,0.403,9.83416858281619e-53,0,CACNA1C
9.69050054637913e-56,0.421377241140032,0.446,0.352,2.90715016391374e-52,0,NEO1
1.11762879311253e-55,0.404019676909946,0.399,0.298,3.35288637933758e-52,0,PGAP1
1.1467087669373e-55,2.63970755568464,0.326,0.242,3.44012630081191e-52,0,SLC2A12
4.0145829190726e-55,3.33218627870696,0.223,0.353,1.20437487572178e-51,0,CSTB
5.19227230404905e-55,4.67784327548367,0.325,0.215,1.55768169121471e-51,0,RGL1
1.30834354878058e-54,0.755984085270331,0.252,0.224,3.92503064634175e-51,0,BAIAP2L1
1.66673021892148e-54,0.547981778189859,0.271,0.16,5.00019065676445e-51,0,ANKMY1
1.71779812381153e-52,0.487067988276345,0.503,0.411,5.15339437143458e-49,0,ATRNL1
5.82886115185429e-52,1.75902523989998,0.276,0.213,1.74865834555629e-48,0,LRRC29
8.12484135828406e-52,10.7311962318037,0.351,0.263,2.43745240748522e-48,0,CORO2B
1.44537072992486e-51,4.65987664829132,0.326,0.209,4.33611218977457e-48,0,GCNT2
1.44888761286009e-51,0.689365941419288,0.252,0.25,4.34666283858028e-48,0,EGR1
2.57839098481917e-51,4.21025662261396,0.283,0.231,7.73517295445751e-48,0,TEFM
7.50716311789924e-51,0.894772280518016,0.313,0.236,2.25214893536977e-47,0,FSHR
6.10580047581909e-50,0.345720568453573,0.383,0.29,1.83174014274573e-46,0,BID
9.1785096305252e-50,0.642653773477594,0.324,0.257,2.75355288915756e-46,0,ATG10
4.1763897966024e-49,0.520073049832147,0.343,0.281,1.25291693898072e-45,0,PDE9A
6.52253375272093e-48,0.315483788454177,0.298,0.194,1.95676012581628e-44,0,RNF43
1.31810420040836e-47,2.98831252177721,0.33,0.203,3.95431260122508e-44,0,ST8SIA4
3.99415350014351e-47,2.44601655869613,0.281,0.233,1.19824605004305e-43,0,LRRK1
1.22292070254595e-44,0.812862357689793,0.255,0.208,3.66876210763784e-41,0,NME5
3.73655482318306e-44,1.04567468386223,0.271,0.249,1.12096644695492e-40,0,MYL4
7.64059122147954e-44,1.44657254096102,0.349,0.276,2.29217736644386e-40,0,QPCTL
2.78956619841755e-43,0.546664024352099,0.415,0.304,8.36869859525264e-40,0,EFNB2
4.66916553956058e-43,1.16038302481036,0.392,0.301,1.40074966186817e-39,0,GPR137C
9.42970173975111e-43,1.81445543915181,0.413,0.289,2.82891052192533e-39,0,TMEM150C
8.85153618989702e-42,2.02065378019452,0.376,0.236,2.65546085696911e-38,0,NHSL1
2.26559144327868e-41,0.281646241516922,0.271,0.187,6.79677432983603e-38,0,DPY19L2
1.15879601993419e-40,0.99956134531038,0.369,0.283,3.47638805980256e-37,0,TSPAN14
1.53004665611315e-40,0.72578684418764,0.254,0.197,4.59013996833944e-37,0,OTOA
4.16555163374439e-40,0.943337557049731,0.345,0.298,1.24966549012332e-36,0,BCAT1
4.58583377463754e-40,0.780160763623478,0.251,0.291,1.37575013239126e-36,0,SPRED2
5.24789349308573e-40,2.30694577828228,0.389,0.257,1.57436804792572e-36,0,PALMD
1.17450280292127e-39,0.608003628386661,0.281,0.239,3.52350840876382e-36,0,RGS12
1.22567976989748e-39,0.486313835025574,0.417,0.352,3.67703930969245e-36,0,RELL2
2.03862566327479e-39,0.295882014966744,0.514,0.441,6.11587698982436e-36,0,AKT3
